POSITION_ID,CLIENT_ID,SECURITY_ID,TICKER,QUANTITY,MARKET_VALUE,COST_BASIS,UNREALIZED_GAIN_LOSS,ASSET_CLASS,CURRENCY,AS_OF_DATE,STATUS
POS00001,CLI0001,SEC033,AP,1623.82,1078509.11,681192.49,397316.62,Real Estate,Canada,2024-03-27,Active
POS00002,CLI0001,SEC010,BCE,353.39,48074.13,45103.17,2970.96,Canadian Equity,Canada,2025-03-25,Active
POS00003,CLI0001,SEC004,BMO,1223.51,344754.85,226508.41,118246.44,Canadian Equity,Canada,2025-01-31,Active
POS00004,CLI0001,SEC029,CORP.BOND.A,683.35,287867.64,205654.18,82213.46,Fixed Income,Canada,2025-10-24,Active
POS00005,CLI0001,SEC007,SU,666.08,190523.26,187295.04,3228.22,Canadian Equity,Canada,2024-09-15,Active
POS00006,CLI0002,SEC010,BCE,1834.33,370327.07,290851.36,79475.71,Canadian Equity,Canada,2025-11-09,Active
POS00007,CLI0002,SEC022,SAP,1194.13,529091.4,560417.15,-31325.75,International Equity,Germany,2025-01-20,Active
POS00008,CLI0002,SEC006,CNQ,663.67,59694.11,45302.11,14392.0,Canadian Equity,Canada,2025-12-02,Pending Settlement
POS00009,CLI0002,SEC038,FTS,195.97,74803.04,66018.37,8784.67,Infrastructure,Canada,2024-01-19,Active
POS00010,CLI0002,SEC043,SLF,368.72,63467.08,40938.98,22528.1,Canadian Equity,Canada,2025-05-12,Active
POS00011,CLI0002,SEC050,ZRE,1999.95,152122.01,163395.92,-11273.91,Real Estate,Canada,2024-04-13,Active
POS00012,CLI0003,SEC048,XAW,270.79,41695.09,51850.87,-10155.78,International Equity,Canada,2025-12-10,Active
POS00013,CLI0003,SEC034,IIP,1620.0,150108.81,140842.8,9266.01,Real Estate,Canada,2025-02-24,Active
POS00014,CLI0003,SEC003,BNS,1441.98,860170.39,699288.2,160882.19,Canadian Equity,Canada,2025-04-04,Active
POS00015,CLI0003,SEC043,SLF,485.95,327441.09,234699.27,92741.82,Canadian Equity,Canada,2024-07-17,Active
POS00016,CLI0003,SEC022,SAP,1894.79,1015447.9,932805.12,82642.78,International Equity,Germany,2024-10-15,Active
POS00017,CLI0003,SEC040,HBF,1010.78,172470.87,214527.95,-42057.08,Alternatives,Canada,2024-07-23,Active
POS00018,CLI0004,SEC017,XOM,966.38,280460.89,182404.23,98056.66,US Equity,United States,2025-12-29,Active
POS00019,CLI0004,SEC004,BMO,1703.82,342289.86,248945.14,93344.72,Canadian Equity,Canada,2024-10-06,Active
