NOTE_ID,SECURITY_ID,TICKER,ANALYST_NAME,NOTE_TEXT,NOTE_DATE,RECOMMENDATION,SENTIMENT
NOTE0001,SEC030,HYG,K. Williams,Sector update -- infrastructure sector showing positive momentum heading into Q3 2025. iShares High Yield Bond ETF (HYG) is our top pick given strong balance sheet. Peer PG remains our underperform call. commodity price volatility supports the positive view.,2024-02-26,Hold,Negative
NOTE0002,SEC024,NOVO,R. Singh,We are upgrading Novo Nordisk (NOVO) to Buy. Q2 earnings came in 2.9% above consensus driven by stronger cloud services. We raise our 12-month price target to $319 (from $316). Key risk: geopolitical.,2025-05-30,Buy,Negative
NOTE0003,SEC028,PROV.ON.5Y,S. Patel,We are upgrading Province of Ontario 5-Year Bond (PROV.ON.5Y) to Sell. Q3 earnings came in 13.2% above consensus driven by stronger pharmaceutical pipeline. We raise our 12-month price target to $69 (from $66). Key risk: liquidity.,2024-06-17,Sell,Neutral
NOTE0004,SEC008,CP,K. Williams,Downgrading Canadian Pacific Kansas City (CP) to Market Perform following weaker-than-expected margin guidance. Management cited energy cost pressures and Bank of Canada rate cut expectations headwinds. Reducing price target to $407. Recommend trimming positions above 5% portfolio weight.,2025-11-02,Market Perform,Negative
NOTE0005,SEC021,NESN,R. Singh,RISK FLAG -- Nestle SA (NESN): Flagging elevated liquidity risk following recent earnings restatement. Recommend reviewing client exposure limits. Current portfolio weight of 4.4% warrants monitoring. Suggest reducing to below 3.7% for conservative and moderate risk profiles.,2024-07-05,Overweight,Positive
NOTE0006,SEC010,BCE,B. O'Brien,Downgrading BCE Inc (BCE) to Hold following weaker-than-expected margin guidance. Management cited material cost pressures and consumer spending slowdown headwinds. Reducing price target to $111. Recommend trimming positions above 5% portfolio weight.,2024-11-23,Hold,Positive
NOTE0007,SEC001,RY,J. Nakamura,RISK FLAG -- Royal Bank of Canada (RY): Flagging elevated liquidity risk following recent CEO departure. Recommend reviewing client exposure limits. Current portfolio weight of 11.8% warrants monitoring. Suggest reducing to below 9.1% for conservative and moderate risk profiles.,2025-09-24,Market Perform,Positive
NOTE0008,SEC029,CORP.BOND.A,A. Okafor,We are upgrading Investment Grade Corporate Bond ETF (CORP.BOND.A) to Sell. Q4 earnings came in 6.5% above consensus driven by stronger commercial lending. We raise our 12-month price target to $275 (from $284). Key risk: concentration.,2025-03-13,Sell,Neutral
NOTE0009,SEC025,ASML,B. O'Brien,We are upgrading ASML Holding (ASML) to Sell. Q4 earnings came in 24.5% above consensus driven by stronger pipeline throughput. We raise our 12-month price target to $242 (from $231). Key risk: regulatory.,2025-06-21,Sell,Neutral
NOTE0010,SEC005,ENB,M. Chen,Maintaining Underweight on Enbridge Inc (ENB). Q1 2025 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 6.3% provides downside support. Watch for regulatory approval in the coming quarter as a potential positive catalyst.,2024-01-03,Underweight,Positive
NOTE0011,SEC017,XOM,K. Williams,Sector update -- infrastructure sector showing cautious momentum heading into 2026. ExxonMobil Corporation (XOM) is our top pick given dividend growth track record. Peer BMO remains our underperform call. consumer spending slowdown supports the cautious view.,2025-06-08,Sell,Negative
NOTE0012,SEC037,TRP,K. Williams,Initiating coverage of TC Energy (TRP) with a Buy recommendation and $147 12-month price target. The company's retail banking segment shows strong momentum with 9.4% YoY revenue growth. Valuation appears compelling at 25.6x forward earnings versus the sector average of 11.6x.,2024-11-19,Buy,Negative
NOTE0013,SEC020,PG,S. Patel,Sector update -- technology sector showing neutral momentum heading into Q3 2025. Procter & Gamble (PG) is our top pick given market share gains. Peer V remains our underperform call. rising inflation supports the neutral view.,2025-03-03,Sell,Neutral
NOTE0014,SEC005,ENB,L. Tremblay,Downgrading Enbridge Inc (ENB) to Buy following weaker-than-expected margin guidance. Management cited labour cost pressures and Bank of Canada rate cut expectations headwinds. Reducing price target to $740. Recommend trimming positions above 5% portfolio weight.,2024-05-13,Buy,Positive
NOTE0015,SEC028,PROV.ON.5Y,K. Williams,We are upgrading Province of Ontario 5-Year Bond (PROV.ON.5Y) to Market Perform. Q1 earnings came in 19.4% above consensus driven by stronger pipeline throughput. We raise our 12-month price target to $81 (from $88). Key risk: interest rate.,2024-01-30,Market Perform,Positive
NOTE0016,SEC010,BCE,B. O'Brien,Initiating coverage of BCE Inc (BCE) with a Market Perform recommendation and $760 12-month price target. The company's insurance premiums segment shows strong momentum with 5.7% YoY revenue growth. Valuation appears compelling at 18.0x forward earnings versus the sector average of 18.7x.,2025-01-10,Market Perform,Negative
NOTE0017,SEC038,FTS,K. Williams,Maintaining Hold on Fortis Inc (FTS). Q2 2025 results were in line with expectations. Management reaffirmed full-year guidance. Dividend yield of 5.1% provides downside support. Watch for contract renewal in the coming quarter as a potential positive catalyst.,2025-05-20,Hold,Positive
